v1_token,v2_tier,original_staker,attack_tx
2145,10003,0x000f4432a40560bbff1b581a8b7aded8dab80026,0x4db0410933c0d87c0b2c9daef985a23bb1124099092155e59287f3277ea40e75
1707,10007,0x0226068ce182ad66482ac08219d41e00eae74aa7,0x80572de5f10bdc32d52fee7c142bdf02cf907c8507a2c14c15c4ae32991148f9
1708,20044,0x0226068ce182ad66482ac08219d41e00eae74aa7,0xfc14d7a2d0e8411091a3d0e5a20f204368015ef07bedd1909eec10dcfe9ca5ff
2022,10016,0x049808d5eaa90a2665b9703d2246dded34f1eb73,0xcc5f10f540491be99cf9cbdc4d57232a1bfc38513c065253dab28be66b4a73ae
2061,10021,0x04a8e03e24b56a44033b0dafa0066d6aa6688120,0x193206210aa51c6a19a85100da01a45bd25933bbcf975918eb09abd7cd220c69
1467,10005,0x0743c080ab509b7f2643db1fdcd591e0d6051daa,0x2af1dbd8b985b9808a4dfbe0b8ffc9fd25e98de1994b7f2de7bfa9ef3a5dc694
2049,10009,0x096264b480512b7fc44acf4ea63d9ea899e518ce,0x5ffb025ac4370934d0dd1df0e70f6d495a59b97b48fdd362d7d1303e06ab3867
1512,10016,0x0b83d0c0976b71724054e9f74a471f7d1c7abdc4,0x8055879aed619df561f77677a709322b3ac669c87b9d782531210a9ae00f8f79
1564,10000,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0x039494a1abaead71cfa511a6460408626b30c756038014bb01f24ea51446832f
1565,10001,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xe419855d82fec17b16f5268a4e036164ffcd317ec82c697ec901d71233db7b43
1556,10026,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0x4ec96ba11e17504aba29e47d9064c691ee4bc24b71876f30b1aeea5b3149f2de
1557,10027,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xdd06689a8afaef42334a143c8456cef63e8a60279ed332a372001bfb0289a764
1558,10028,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xbadfd71f877bfa73e7587bd89742359408c8b5f414889d17628011149dd37aa0
1559,10029,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xab45d1a5fd76a8c3d2bd807fa21c7ba9642da36cb0455b3071e0f72b1d49afab
1560,10030,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xf83a8c46d169845397c045f8582c1cd84545699c11202611a02771260ae679dc
1561,10031,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0x952fd27b95c4683c5be3cb9175f42080621956c630559169c4f62e1b4070ff6b
1562,10032,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xd843b0f07effd23dd1d305d542d6621378d83477030ad43839fd20ba42187931
1563,10033,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0x10476f887d9acf775e874071a51a208395a43627d359414b303b45f28ab36006
1566,20030,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xde536957b72dc675cf6af703ff60818fbf84968f091306d4964592745cd3f79e
1567,20031,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0x06770ae9deaf2c8285c827e6eb8e74f336c34304538fe9f7bba3c9ab3060226d
1568,30050,0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,0xe34196c9b115c94f4786fe9308eaf20af4a3e27e6814795461e9e99150584926
1471,10009,0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1,0x5fe338cd4b47270be9f9348d7ca6285d428f4ac82d8e29c829691ba6aea2d221
1472,20000,0x0ef6e547dd86de09f0e8ece1e5a9f5ccb335ade1,0xcadbbb39f1b7a7b79624f3caad0da91d95b3e86d6b7d889539bf3a9833763084
1430,10002,0x0fac4efa9fb13445fe1df54213602db311688516,0xb2353e24ca177afb52d964a8a50b09945a39b50e6189eeaf4d51b7125c5cbe72
917,30020,0x0fe5e887dae7a24836a192622fb84ce7b97ac306,0x9f9276bb6297465dc4088db1c186bcd15cf76124a257fa8795db4ae8a665c0a0
2008,10002,0x1065d2693fc1cc627f746ade3ca5d36c37762c13,0x2630ee987e4ab1a95798152b26625200a7ce16453dcc11d7ba01b507cf4a6f78
2047,10007,0x11b67a503b3b702104eeef69a4ea1365d0f2c658,0x4ac82f9fd08f7df2be340129538f626e5edd24f2149962610a1b3402335cf237
1616,10018,0x13c03641c376bbd2113e7fdd02e92d0bbef72511,0x7e64e395931f987562b357a619e7cace15fa23919d60ae4357097fb7ff370e02
1617,20017,0x13c03641c376bbd2113e7fdd02e92d0bbef72511,0x3bbabe57dd7acab7f9a76f1de1308d7c1fdc78c23d08537347b2768b48d3d0cc
1974,10002,0x14cfd6b71163360b2a176ea167c2800b2deb8296,0x961d5604358a6cfcc3fe8c059b2212f147aee7c1f47c9e118b96066419138a1f
1419,10025,0x167539702b5501aadd9b0b85e53532fd57cc71a9,0x6044ebd3f1375f1eafe53c0e3b24e7069f823bacaa567cb69fcd84867c28200c
1420,30040,0x167539702b5501aadd9b0b85e53532fd57cc71a9,0x693a05ad1389cd37bb286e0600cc79dbee76922af4ffe57a9dc1cba6032895d2
1482,10020,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0x05d380ef9baa42b71dadbed34862bda03244b2eded9fb7d57aed0a023f102e8d
1483,10021,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0xe3187f5be639b56833c1fb95cbe14082d19ab1d800abf8f90370e1657107b1b0
1484,10022,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0x2350d5b54690b7234b903fbf9e8edecc09831e8168766ef83419d1fcf49f8875
1485,10023,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0x4e427e88360280ef5855195500b8d01ca68f4a9fbbe24272d670d9a1a0fcea3e
1486,10024,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0x0752b440445eb49928cb8f2db4da514df2dac1e56fd427f722862ad4e9b145d7
1487,10025,0x16abea6bf03a8a90204632a0c7e8188064b0a1ce,0xca33826543673dde1e3115efa885de81f76780ff68c72eb2b3547191afb533e4
1704,10004,0x1f9c822097a6ede8def937356863e37a18b97278,0xbb2757f7bb2f4cc311a3997ff6489ceeb4090fe871dd3b0157f42abc1d9c6bf1
1670,10004,0x2000434e4af84b37c7b7b03b4de039dd1126599c,0x5428314e64d1e2c5c172ea8d20ec78e933d1e86a4873a78d02344c39a81e6846
1872,10002,0x2067bed542762d26e2755ce7d8776728f3429f48,0xfbf672fd3300bb852135b232d479351707092121e8c3808896eef5f5e58c319c
2042,10002,0x20cc956a257c658d7f86873cf31b68dd6a16fa74,0xfac26dd71a960d30c5e520b8fa5f801310a7cdf98fa9f04d297ff33fa6779978
2043,10003,0x20cc956a257c658d7f86873cf31b68dd6a16fa74,0xd23729a6b98225f0c3ee018ab425bca895724d27cd80d8a31d16e57aed5b7ed7
2044,10004,0x20cc956a257c658d7f86873cf31b68dd6a16fa74,0x7e0feef57858c91c6d4b63465766ebafa2b6ee952fbea6e016c45ce7be5626ac
2045,10005,0x20cc956a257c658d7f86873cf31b68dd6a16fa74,0x81292a0353352d6bc80e62f6be265f71524979106bf038eaa430478fdf512d3b
2046,10006,0x20cc956a257c658d7f86873cf31b68dd6a16fa74,0x2da7dd9ce58e1aba0ee8e2ecf5ddcbcceb694b70ce0956831c9b94a7f9c9e127
